column,description
name,Name of the book
authors,Name of the author(s) of the book
quotes,Famous Qoute from the book
One_Sentence_Overview,The Book in One Sentence
Why_should_you_read_it,Importance/Uniqueness of the book - why should anyone read this
Takeaway_1,Key takeways from the book
Takeaway_2,Key takeways from the book
Takeaway_3,Key takeways from the book
