1520661349503627264 2022-05-01 13:08:12 +0600 <naval> @matthuang Anytime you see a line, the product is mispriced.
1520478051800285184 2022-05-01 00:59:51 +0600 <naval> @James11804433 From mask mandates to muzzle mandates.
1520186033115041792 2022-04-30 05:39:28 +0600 <naval> Western society went from White Man’s Burden to White Man’s a Burden in one century.
1519833083003891712 2022-04-29 06:16:58 +0600 <naval> @zooko “There’s really nothing that compares to that feeling…of being a high school dropout and contributing something [significant] to the history of cryptography.”  - Sean Bowe
1519450570473443328 2022-04-28 04:57:00 +0600 <naval> @MewCat42 @Lerninmachine If it’s a monopoly or utility, yes.
1519444277939425280 2022-04-28 04:32:00 +0600 <naval> @Digital67763161 @Lerninmachine @AngelLamuno 👍
1519394439340339200 2022-04-28 01:13:57 +0600 <naval> @Supreme_Owl_FTW 👌
1519383831215673344 2022-04-28 00:31:48 +0600 <naval> Existence itself is magic - the rest is science.
1519365412206481410 2022-04-27 23:18:37 +0600 <naval> @Tinfact1 They’re not monopolies / utilities or the government so of course they can curate. Don’t confuse freedom of association with freedom of speech.
1519364543159316480 2022-04-27 23:15:10 +0600 <naval> @machimanshu091 Valid constraints is just a way of saying “censorship that I approve of.”  We part ways here.
1519364346534539270 2022-04-27 23:14:23 +0600 <naval> @socializ3r Those are already illegal for inciting violence and destroying character. People can and will be sued / arrested over that. No need to create a centralized censorship apparatus.
1519359624264417286 2022-04-27 22:55:37 +0600 <naval> Censorship is a fatal error, as it destroys the means of error correction.
1519099389704237057 2022-04-27 05:41:32 +0600 <naval> @Randell51673568 @ToKTeacher
1519094484482461698 2022-04-27 05:22:03 +0600 <naval> @VaishakhKallat1 It’s sarcasm, read it in context.   But I have to block you for being so quick to jump to name calling.
1518747289111592961 2022-04-26 06:22:25 +0600 <naval> @jorammutenge @elonmusk Well said.
1518648134393499648 2022-04-25 23:48:25 +0600 <naval> @Plinz @normonics Yes like various spam filters and ad blocker plugins.
1518647426181066752 2022-04-25 23:45:36 +0600 <naval> @kiabms5 @BigcoHonis @elonmusk Publish / subscribe of block / mute lists aka pick your own editor. Same for algos (like choosing a spam filter).  Twitter has clearly made political decisions and censored on political grounds.  The power to censor globally is too great and will be abused.
1518639631775899648 2022-04-25 23:14:37 +0600 <naval> @kiabms5 @BigcoHonis @elonmusk I’m using his own words back at him to show they’re meaningless labels and everyone can just accuse each other of spreading misinformation.
1518638620294270976 2022-04-25 23:10:36 +0600 <naval> @skorch__ @elonmusk Not true because there is no objective definition for those labels. Whoever gets to assign the labels is basically m in charge.
1518637088668884999 2022-04-25 23:04:31 +0600 <naval> @Plinz @normonics Yes publish / subscribe block and mute lists aka “pick your own editor.”
1518633505348984833 2022-04-25 22:50:17 +0600 <naval> @BigcoHonis @elonmusk Stop spreading misinformation, you disinformation agent.
1518633250784088064 2022-04-25 22:49:16 +0600 <naval> @SkepticSupreme @elonmusk Supreme Court appointees are increasingly ideological / partisan.   Maintaining a divided government is very important to protect the Constitution.
